sku_proveedor,producto,moneda,costo_origen_historico,url_proveedor,fecha_precio,tipo_cambio_ARS,flete_por_unidad_ARS,otros_costos_ARS,precio_ML_comparable,url_ML,precio_objetivo_90_por_ciento,precio_objetivo_95_por_ciento,estado
114399,MEDICUBE PDRN PINK COLLAGEN GEL MASK 28G 4UNID 4EA (114399),USD,13,https://atacadousa.com.py/cosmeticos/10096-mascara-facial-medicube-pdrn-pink-collagen-gel-28g-x004e5va2f.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
467714,MEDICUBE PDRN PINK COLLAGEN CAPSULE CREAM 55G (467714),USD,17.25,https://atacadousa.com.py/cosmeticos/10760-creme-facial-medicube-pdnr-pink-collagen-capsule-cream-55g118885.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
567354,MEDICUBE ZERO PORE ONE DAY CREAM 50ML(567354),USD,15,https://atacadousa.com.py/cosmeticos/10935-creme-facial-medicube-zero-pore-one-day-cream-50ml567354.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
566944,MEDICUBE SERUM FACIAL DEEP VITA C AMPOULE 14.5% (3UNID)(566944),USD,19,https://atacadousa.com.py/cosmeticos/10937-serum-facial-medicube-deep-vita-c-ampoule-145-3unid566944.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
114979,MEDICUBE PDRN BOOSTER GEL 300ML (114979),USD,11.9,https://atacadousa.com.py/cosmeticos/12294-gel-facial-medicube-pdrn-booster-300ml-114979.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
030180,KARSEELL MACA POWER REPAIR COLLAGEN 500ML (030180),USD,6,https://atacadousa.com.py/cosmeticos/8489-mascara-capilar-karseell-maca-power-collagen-500ml.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
10575,MASCARA CAPILAR KARSEELL MACA POWER PURPLE HAIR MASK,USD,10,https://atacadousa.com.py/cosmeticos/10575-mascara-capilar-karseell-maca-power-purple-hair-mask.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
036113,KIT KARSEELL MACA ESSENCE REPAIR SET MASK+OIL 500 + 50ML (036113),USD,11.9,https://atacadousa.com.py/cosmeticos/10623-kit-mascara-capilar-karseell-maca-essence-500ml-oleo-capilar-50ml.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
034614,KIT KARSEELL TRAVEL SET MACA ENSSENCE REPAIR (034614),USD,4.99,https://atacadousa.com.py/cosmeticos/11737-kit-karseell-travel-set-maca-enssence-100mlshampoo-70mlcondicion-70m.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
030548,KARSEELL MACA ESSENCE OIL 50ML (030548),USD,3.5,https://atacadousa.com.py/cosmeticos/9918-oleo-capilar-karseell-maca-essence-50ml.html,NO_VERIFICADA,,,,,,,,PENDIENTE_COTIZACION_FLETE_Y_COMPARABLE
